ORIGID,CountyName,PopulationCensus16,Lat,Long,SHAPE_Length,SHAPE_Area
1,Carlow,56932,52.7168,-6.8367,319348.5725,2432351721
2,Cavan,76176,53.9878,-7.2937,515954.4965,5575009911
3,Clare,118817,52.8917,-8.9889,1013948.95,8722541706
4,Cork,542868,51.9517,-8.6372,2129949.409,19529490886
5,Donegal,159192,54.8989,-7.96,2145085.774,14624041937
6,Dublin,1347359,53.3605,-6.292,449433.5318,2612632655
7,Galway,258058,53.3705,-8.7362,1972288.286,17079158586
8,Kerry,147707,52.1689,-9.565,1753779.819,12483603408
9,Kildare,222504,53.238,-6.7837,422182.0368,4726063622
10,Kilkenny,99232,52.5816,-7.2175,453397.5722,5585391835
11,Laois,84697,52.9952,-7.3423,398512.4622,4731211499
12,Leitrim,32044,54.1261,-7.9939,453253.685,4618679673
13,Limerick,194899,52.5255,-8.7412,673892.6905,7206726912
14,Longford,40873,53.7325,-7.6952,315245.1728,3097977869
15,Louth,128884,53.9161,-6.487,352203.5172,2386326963
16,Mayo,130507,53.9191,-9.2537,2101964.077,16036984139
17,Meath,195044,53.6851,-6.715,554844.7505,6658570746
18,Monaghan,61386,54.1857,-6.9452,392803.0473,3768943157
19,Offaly,77961,53.2632,-7.6607,561440.3786,5558826350
20,Roscommon,64544,53.8008,-8.2735,622494.1546,7278743876
21,Sligo,65535,54.1581,-8.5345,682286.8703,5348370378
22,Tipperary,159553,52.6407,-7.9206,781276.5797,11551196729
23,Waterford,116176,52.2035,-7.4935,643184.904,4848379555
24,Westmeath,88770,53.5524,-7.4219,422669.3327,5208705730
25,Wexford,149722,52.5164,-6.5037,589324.4767,6332221063
26,Wicklow,142425,53.0205,-6.3442,427539.1986,5580728579
